Step,Node,Series,ElapsedTime,Min_EpochTime,Max_EpochTime,Sum_EpochTime,Avg_EpochTime,Min_CPUFrequency,Max_CPUFrequency,Sum_CPUFrequency,Avg_CPUFrequency,Min_CPUTime,Max_CPUTime,Sum_CPUTime,Avg_CPUTime,Min_CPUUtilization,Max_CPUUtilization,Sum_CPUUtilization,Avg_CPUUtilization,Min_RSS,Max_RSS,Sum_RSS,Avg_RSS,Min_VMSize,Max_VMSize,Sum_VMSize,Avg_VMSize,Min_Pages,Max_Pages,Sum_Pages,Avg_Pages,Min_ReadMB,Max_ReadMB,Sum_ReadMB,Avg_ReadMB,Min_WriteMB,Max_WriteMB,Sum_WriteMB,Avg_WriteMB
-1,r4858666-n911952,0,111710,1611618179,1611729889,18005622307848,1611674034.0,3403,3403,38018316,3403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832,2184,9296456,832.1210169999999,7776,168384,87034080,7790.375940000001,0,0,0,0.0,0.0,0.0018579999999999998,0.0018579999999999998,0.0,0.0,0.0022429999999999998,0.0022429999999999998,0.0
batch,r4858666-n911952,0,111710,1611618179,1611729889,18005622307848,1611674034.0,0,2989,336196,30.092732,0.0,319.84,160195.85,14.339049,0.0,3198.4,1601958.5,143.390485,4980,62724624,359392988936,32169082.432509996,199036,73137884,469415286548,42017121.960974,0,2,2,0.00017900000000000001,0.0,46.823552,151.21078300000002,0.013535,0.0,4.239426,35.253896999999995,0.003156
