Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
-1,r4858666-n911952,0,570,1611618749,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,580,1611618759,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,590,1611618769,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,600,1611618779,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,610,1611618789,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,620,1611618799,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,630,1611618809,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,640,1611618819,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,650,1611618829,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,660,1611618839,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,670,1611618849,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,680,1611618859,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,690,1611618869,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,700,1611618879,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,710,1611618889,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,720,1611618899,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,730,1611618909,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,740,1611618919,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,750,1611618929,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,760,1611618939,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,770,1611618949,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,780,1611618959,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,790,1611618969,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,800,1611618979,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,810,1611618989,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,820,1611618999,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,830,1611619009,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,840,1611619019,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,850,1611619029,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,860,1611619039,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,870,1611619049,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,880,1611619059,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,890,1611619069,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,900,1611619079,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,910,1611619089,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,920,1611619099,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,930,1611619109,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,940,1611619119,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,950,1611619129,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,960,1611619139,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,970,1611619149,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,980,1611619159,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,990,1611619169,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1000,1611619179,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1010,1611619189,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1020,1611619199,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1030,1611619209,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1040,1611619219,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1050,1611619229,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1060,1611619239,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1070,1611619249,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1080,1611619259,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1090,1611619269,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1100,1611619279,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1110,1611619289,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1120,1611619299,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1130,1611619309,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1140,1611619319,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1150,1611619329,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1160,1611619339,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1170,1611619349,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1180,1611619359,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1190,1611619369,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1200,1611619379,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1210,1611619389,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1220,1611619399,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1230,1611619409,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1240,1611619419,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1250,1611619429,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1260,1611619439,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1270,1611619449,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1280,1611619459,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1290,1611619469,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1300,1611619479,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1310,1611619489,3403,0.0,0.0,832,7776,0,0.0,0.0
